0   18392   -24   -28183   -27   508086   1000
1   18308   -24   17970   -14   508633   1000
2   18208   -24   17925   -13   510275   1000
3   18040   -24   26819   -13   513005   1000
4   17816   -24   17814   -12   516816   1000
5   17533   -24   22166   -12   521695   1000
6   17192   -24   26444   -12   527629   1000
7   16792   -24   30643   -12   534597   1000
8   32664   -25   17372   -11   542578   1000
9   31624   -25   19365   -11   551547   1000
10   30462   -25   21297   -11   561473   1000
11   29181   -25   23157   -11   572325   1000
12   27781   -25   24939   -11   584066   1000
13   26265   -25   26634   -11   596656   1000
14   24638   -25   28236   -11   610052   1000
15   22905   -25   29740   -11   624206   1000
16   21074   -25   31138   -11   639069   1000
17   19154   -25   32425   -11   654587   1000
18   17144   -25   16797   -10   670705   1000
19   30227   -26   17320   -10   687364   1000
20   -30016   -26   17776   -10   704503   1000
21   -29648   -26   17317   -10   721639   1000
22   -29267   -26   16866   -10   738329   1000
23   -28838   -26   16419   -10   754581   1000
24   -28376   -26   31957   -11   770400   1000
25   -27884   -26   31090   -11   785793   1000
26   -27366   -26   30240   -11   800766   1000
27   -26828   -26   29404   -11   815328   1000
28   -26271   -26   28586   -11   829486   1000
29   -25700   -26   27785   -11   843248   1000
30   -25119   -26   26999   -11   856624   1000
31   -24529   -26   26234   -11   869620   1000
32   -23933   -26   25484   -11   882247   1000
33   -23334   -26   24755   -11   894512   1000
34   -22735   -26   24042   -11   906426   1000
35   -22136   -26   23347   -11   917996   1000
36   -21541   -26   22674   -11   929231   1000
37   -20950   -26   22015   -11   940142   1000
38   -20365   -26   21376   -11   950736   1000
39   -19786   -26   20754   -11   961022   1000
40   -19216   -26   20152   -11   971008   1000
41   -18655   -26   19564   -11   980705   1000
42   -18104   -26   18994   -11   990119   1000
43   -17563   -26   18443   -11   999259   1000
44   -17033   -26   17906   -11   1008134   1000
45   -16515   -26   17388   -11   1016750   1000
46   -32017   -27   16884   -11   1025117   1000
47   -31029   -27   16393   -11   1033242   1000
48   -30065   -27   31843   -12   1041131   1000
49   -29126   -27   30925   -12   1048793   1000
50   -28212   -27   30035   -12   1056235   1000
51   -27323   -27   29174   -12   1063463   1000
52   -26459   -27   28340   -12   1070484   1000
53   -25619   -27   27532   -12   1077305   1000
54   -24805   -27   26753   -12   1083931   1000
55   -24015   -27   25996   -12   1090370   1000
56   -23248   -27   25263   -12   1096627   1000
57   -22506   -27   24553   -12   1102708   1000
58   -21786   -27   23865   -12   1108619   1000
59   -21089   -27   23203   -12   1114364   1000
60   -20415   -27   22558   -12   1119950   1000
